,Name,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,precio_medio,MinPrice_USD,MaxPrice_USD,Precio_medio_USD,Categoria_minimo,Categoria_maximo,Categoria_promedio,Nacion,Cuisine_2
0,Aqua,Wolfsburg,225.0,225.0,EUR,"['Creative', 'Modern Cuisine']",10.789999,52.4331722,225.0,237.96,237.96,237.96,Highest,Highest,Highest,Germany,Creative
1,The Table Kevin Fehling,Hamburg,230.0,230.0,EUR,['Creative'],10.0029797,53.5426229,230.0,243.24800000000002,243.24800000000002,243.24800000000002,Highest,Highest,Highest,Germany,Creative
2,Restaurant Überfahrt Christian Jürgens,Rottach-Egern,259.0,319.0,EUR,['Creative'],11.7582292,47.6966846,289.0,273.9184,337.37440000000004,305.6464,Highest,Highest,Highest,Germany,Creative
3,Victor's Fine Dining by christian bau,Perl,205.0,295.0,EUR,['Creative'],6.3872109,49.5351732,250.0,216.80800000000002,311.992,264.40000000000003,Highest,Highest,Highest,Germany,Creative
4,Rutz,Berlin,198.0,245.0,EUR,"['Modern Cuisine', 'Creative']",13.3860867,52.5283507,221.5,209.40480000000002,259.112,234.25840000000002,Highest,Highest,Highest,Germany,Modern Cuisine
5,Restaurant Bareiss,Baiersbronn,150.0,335.0,EUR,['Classic French'],8.3269876,48.5205845,242.5,158.64000000000001,354.29600000000005,256.468,Highest,Highest,Highest,Germany,Classic French
6,temporaire - Schwarzwaldstube,Baiersbronn,215.0,265.0,EUR,"['Classic French', 'Creative']",8.3590633,48.5361528,240.0,227.38400000000001,280.264,253.824,Highest,Highest,Highest,Germany,Classic French
7,schanz. restaurant.,Piesport,115.0,178.0,EUR,"['Modern French', 'Creative']",6.9266002,49.8776003,146.5,121.62400000000001,188.2528,154.9384,Highest,Highest,Highest,Germany,Modern French
8,Waldhotel Sonnora,Dreis,225.0,249.0,EUR,['Classic French'],6.8109342,49.9377323,237.0,237.96,263.3424,250.65120000000002,Highest,Highest,Highest,Germany,Classic French
9,L'Enclume,Cartmel,79.0,175.0,GBP,['Creative'],-2.9538566,54.2017254,127.0,98.4498,218.085,158.2674,Highest,Highest,Highest,United,Creative
10,Fat Duck,Bray,275.0,375.0,GBP,['Creative'],-0.7017529,51.5078582,325.0,342.705,467.325,405.015,Highest,Highest,Highest,United,Creative
11,Waterside Inn,Bray,170.0,188.0,GBP,['Classic French'],-0.6994376,51.5091092,179.0,211.85399999999998,234.2856,223.0698,Highest,Highest,Highest,United,Classic French
12,Restaurant Gordon Ramsay,London,120.0,220.0,GBP,['French'],-0.1621766,51.4854381,170.0,149.54399999999998,274.164,211.85399999999998,Highest,Highest,Highest,United,French
13,Hélène Darroze at The Connaught,London,85.0,185.0,GBP,['Modern Cuisine'],-0.1492905,51.510188,135.0,105.92699999999999,230.547,168.237,Highest,Highest,Highest,United,Modern Cuisine
14,CORE by Clare Smyth,London,125.0,195.0,GBP,['Modern British'],-0.2030649,51.5126689,160.0,155.775,243.009,199.392,Highest,Highest,Highest,United,Modern British
15,Sketch (The Lecture Room & Library),London,125.0,250.0,GBP,['Modern French'],-0.1415369,51.5126775,187.5,155.775,311.55,233.6625,Highest,Highest,Highest,United,Modern French
16,Alain Ducasse at The Dorchester,London,95.0,195.0,GBP,['French'],-0.152575,51.5073381,145.0,118.389,243.009,180.69899999999998,Highest,Highest,Highest,United,French
17,Amador,Vienna,265.0,265.0,EUR,"['Creative', 'Contemporary']",16.3586003,48.2540114,265.0,280.264,280.264,280.264,Highest,Highest,Highest,Austria,Creative
18,Xin Rong Ji (Xinyuan South Road),Beijing,1.0,2.0,CNY,['Taizhou'],116.450148,39.94638,1.5,0.1489,0.2978,0.22335,Low,Low,Low,China,Taizhou
19,King's Joy,Beijing,699.0,1.399,CNY,['Vegetarian'],116.410004,39.946681,350.1995,104.0811,0.2083111,52.144705550000005,Highest,Low,Medium,China,Vegetarian
20,Jade Dragon,Macau,880.0,2.0,MOP,['Cantonese'],113.56715,22.149137,441.0,108.85600000000001,0.2474,54.551700000000004,Highest,Low,High,Macau,Cantonese
21,Robuchon au Dôme,Macau,988.0,3.5,MOP,['French Contemporary'],113.54395,22.189949,495.75,122.21560000000001,0.43295,61.324275,Highest,Low,High,Macau,French Contemporary
22,The Eight,Macau,2.8,3.0,MOP,['Cantonese'],113.54341,22.190475,2.9,0.34636,0.3711,0.35873,Low,Low,Low,Macau,Cantonese
23,8 1/2 Otto e Mezzo - Bombana,Hong Kong,700.0,2.08,HKD,['Italian'],114.15867,22.2814635,351.04,89.18,0.26499200000000006,44.72249600000001,Highest,Low,Medium,Hong,Italian
24,T'ang Court,Hong Kong,1.4,1.83,HKD,['Cantonese'],114.1698,22.296572,1.615,0.17836000000000002,0.23314200000000004,0.20575100000000002,Low,Low,Low,Hong,Cantonese
25,Sushi Shikon,Hong Kong,2.0,3.5,HKD,['Sushi'],114.1577893,22.2806103,2.75,0.2548,0.4459000000000001,0.35035000000000005,Low,Low,Low,Hong,Sushi
26,Caprice,Hong Kong,745.0,2.6,HKD,['French Contemporary'],114.1566097,22.2866489,373.8,94.91300000000001,0.33124000000000003,47.62212000000001,Highest,Low,Medium,Hong,French Contemporary
27,Forum,Hong Kong,2.0,2.0,HKD,['Cantonese'],114.1821905,22.2813972,2.0,0.2548,0.2548,0.2548,Low,Low,Low,Hong,Cantonese
28,Lung King Heen,Hong Kong,760.0,2.98,HKD,['Cantonese'],114.1580538,22.2860122,381.49,96.82400000000001,0.37965200000000004,48.60182600000001,Highest,Low,Medium,Hong,Cantonese
29,L'Atelier de Joël Robuchon,Hong Kong,680.0,2.6,HKD,['French Contemporary'],114.15816,22.281199,341.3,86.632,0.33124000000000003,43.48162000000001,Highest,Low,Medium,Hong,French Contemporary
30,Azurmendi,Larrabetzu,250.0,250.0,EUR,['Creative'],-2.81454,43.26065,250.0,264.40000000000003,264.40000000000003,264.40000000000003,Highest,Highest,Highest,Spain,Creative
31,Martín Berasategui,Lasarte - Oria,220.0,290.0,EUR,['Creative'],-2.0152402,43.2664755,255.0,232.67200000000003,306.704,269.68800000000005,Highest,Highest,Highest,Spain,Creative
32,Aponiente,El Puerto de Santa María,215.0,215.0,EUR,"['Creative', 'Innovative']",-6.2164435,36.6033273,215.0,227.38400000000001,227.38400000000001,227.38400000000001,Highest,Highest,Highest,Spain,Creative
33,El Celler de Can Roca,Girona,190.0,350.0,EUR,['Creative'],2.807927,41.9932026,270.0,200.94400000000002,370.16,285.552,Highest,Highest,Highest,Spain,Creative
34,Quique Dacosta,Dénia,210.0,210.0,EUR,['Creative'],0.0852209,38.8537884,210.0,222.09600000000003,222.09600000000003,222.09600000000003,Highest,Highest,Highest,Spain,Creative
35,Cenador de Amós,Villaverde de Pontones,197.0,235.0,EUR,['Modern Cuisine'],-3.6988243,43.4124884,216.0,208.34720000000002,248.53600000000003,228.44160000000002,Highest,Highest,Highest,Spain,Modern Cuisine
36,DiverXO,Madrid,365.0,365.0,EUR,['Creative'],-3.6856715,40.4582913,365.0,386.02400000000006,386.02400000000006,386.02400000000006,Highest,Highest,Highest,Spain,Creative
37,Arzak,Donostia / San Sebastián,230.0,260.0,EUR,"['Creative', 'Traditional Cuisine']",-1.9490932,43.3214016,245.0,243.24800000000002,274.976,259.112,Highest,Highest,Highest,Spain,Creative
38,Akelaŕe,Donostia / San Sebastián,240.0,240.0,EUR,"['Creative', 'Traditional Cuisine']",-2.0731493,43.3027805,240.0,253.824,253.824,253.824,Highest,Highest,Highest,Spain,Creative
39,Lasarte,Barcelona,175.0,250.0,EUR,['Creative'],2.1622018,41.3936278,212.5,185.08,264.40000000000003,224.74,Highest,Highest,Highest,Spain,Creative
40,ABaC,Barcelona,250.0,250.0,EUR,['Creative'],2.1367664,41.4103822,250.0,264.40000000000003,264.40000000000003,264.40000000000003,Highest,Highest,Highest,Spain,Creative
41,L'OSIER,Tokyo,13.0,44.0,JPY,['French'],139.761233,35.6696524,28.5,0.10139999999999999,0.3432,0.2223,Low,Low,Low,Japan,French
42,Sazenka,Tokyo,34.0,73.0,JPY,['Chinese'],139.728395,35.649578,53.5,0.2652,0.5694,0.4173,Low,Low,Low,Japan,Chinese
43,Kagurazaka Ishikawa,Tokyo,43.0,43.0,JPY,['Japanese'],139.739477,35.701185,43.0,0.3354,0.3354,0.3354,Low,Low,Low,Japan,Japanese
44,Kanda,Tokyo,37.0,43.0,JPY,['Japanese'],139.748172,35.665976,40.0,0.28859999999999997,0.3354,0.312,Low,Low,Low,Japan,Japanese
45,L'Effervescence,Tokyo,34.0,34.0,JPY,['French'],139.719454,35.660299,34.0,0.2652,0.2652,0.2652,Low,Low,Low,Japan,French
46,Quintessence,Tokyo,35.0,35.0,JPY,['French'],139.7329477,35.6240721,35.0,0.27299999999999996,0.27299999999999996,0.27299999999999996,Low,Low,Low,Japan,French
47,Azabu Kadowaki,Tokyo,26.0,70.0,JPY,['Japanese'],139.733551,35.655993,48.0,0.20279999999999998,0.5459999999999999,0.37439999999999996,Low,Low,Low,Japan,Japanese
48,Joël Robuchon,Tokyo,23.0,54.0,JPY,['French'],139.7144835,35.6418703,38.5,0.1794,0.42119999999999996,0.3003,Low,Low,Low,Japan,French
49,RyuGin,Tokyo,49.0,49.0,JPY,['Japanese'],139.759193,35.673583,49.0,0.3822,0.3822,0.3822,Low,Low,Low,Japan,Japanese
50,Sushi Yoshitake,Tokyo,38.0,38.0,JPY,['Sushi'],139.761937,35.66894,38.0,0.2964,0.2964,0.2964,Low,Low,Low,Japan,Sushi
51,Kohaku,Tokyo,43.0,43.0,JPY,['Japanese'],139.741008,35.700701,43.0,0.3354,0.3354,0.3354,Low,Low,Low,Japan,Japanese
52,Makimura,Tokyo,27.0,27.0,JPY,['Japanese'],139.735467,35.590864,27.0,0.21059999999999998,0.21059999999999998,0.21059999999999998,Low,Low,Low,Japan,Japanese
53,Gaon,SEOUL,130.0,260.0,KRW,['Korean'],127.03595,37.52265,195.0,0.10400000000000001,0.20800000000000002,0.156,Low,Low,Low,South,Korean
54,La Yeon,SEOUL,109.0,280.0,KRW,['Korean'],127.00517,37.555813,194.5,0.0872,0.224,0.15560000000000002,Low,Low,Low,South,Korean
